ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
592 E Pender St;Public School;Lord Strathcona Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.09147679242075, 49.27981151466552]}";Strathcona
1936 W 10th Av;Public School;Lord Tennyson Elementary;"{""type"": ""Point"", ""coordinates"": [-123.14937705, 49.262518934067664]}";Kitsilano
1950 E Hastings St;StrongStart BC;MacDonald StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.06467911, 49.280723909067746]}";Grandview-Woodland
6199 Cypress St;Public School;Maple Grove Elementary;"{""type"": ""Point"", ""coordinates"": [-123.15151486, 49.22940869906749]}";Kerrisdale
2300 Guelph St;Public School;Mount Pleasant Elementary;"{""type"": ""Point"", ""coordinates"": [-123.09399954, 49.26396573206767]}";Mount Pleasant
4102 W 16th Av;Public School;Norma Rose Point School;"{""type"": ""Point"", ""coordinates"": [-123.20112784000001, 49.257791772067634]}";Dunbar-Southlands
5750 Oak St;Independent School;Pacific Torah Institute;"{""type"": ""Point"", ""coordinates"": [-123.12761225509908, 49.23342156632536]}";Oakridge
981 Nelson St;Independent School;Pattison High School;"{""type"": ""Point"", ""coordinates"": [-123.12511331828341, 49.28108362095662]}";Downtown
981 Nelson St;Independent School;Pattison School;"{""type"": ""Point"", ""coordinates"": [-123.12511331828341, 49.28108362095662]}";Downtown
5350 East Boulevard;Public School;Point Grey Secondary;"{""type"": ""Point"", ""coordinates"": [-123.15343060436416, 49.23728903611385]}";Shaughnessy
2250 Eddington Drive;Public School;Prince of Wales Secondary;"{""type"": ""Point"", ""coordinates"": [-123.15953565, 49.24498305306758]}";Arbutus-Ridge
1300 E Broadway;Public School;Queen Alexandra Elementary;"{""type"": ""Point"", ""coordinates"": [-123.07592057, 49.261970549067655]}";Kensington-Cedar Cottage
5300 Maple St;Public School;Quilchena Elementary;"{""type"": ""Point"", ""coordinates"": [-123.15157081, 49.23724621006754]}";Shaughnessy
8610 Ash St;Independent School;Royal Canadian College;"{""type"": ""Point"", ""coordinates"": [-123.11860774594169, 49.20724201501598]}";Marpole
100 W 15th Av;Public School;Simon Fraser Elementary;"{""type"": ""Point"", ""coordinates"": [-123.10819689943345, 49.25717135541721]}";Mount Pleasant
960 E 39th Av;StrongStart BC;Sir Alexander Mackenzie StrongStart;"{""type"": ""Point"", ""coordinates"": [-123.08671432, 49.23453643506752]}";Kensington-Cedar Cottage
6901 Elliott St;Public School;Sir Charles Kingsford-Smith;"{""type"": ""Point"", ""coordinates"": [-123.0557042, 49.221596673067474]}";Victoria-Fraserview
7668 Borden St;Public School;Sir James Douglas Annex;"{""type"": ""Point"", ""coordinates"": [-123.07329351, 49.214830464067425]}";Victoria-Fraserview
4750 St. Catherines St;Public School;Sir Richard McBride Annex;"{""type"": ""Point"", ""coordinates"": [-123.08495018892324, 49.241944229212045]}";Kensington-Cedar Cottage
1401 E 49th Av;Public School;Sir Sandford Fleming Elementary;"{""type"": ""Point"", ""coordinates"": [-123.07657409, 49.22574768906748]}";Victoria-Fraserview
3323 Wellington Av;Public School;Sir Wilfred Grenfell Community;"{""type"": ""Point"", ""coordinates"": [-123.0348073745407, 49.242891620676865]}";Renfrew-Collingwood
3323 Wellington Av;StrongStart BC;Sir Wilfred Grenfell StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.0348073745407, 49.242891620676865]}";Renfrew-Collingwood
7350 Laurel St;Public School;Sir Wilfrid Laurier Elementary;"{""type"": ""Point"", ""coordinates"": [-123.12504721, 49.21776253406744]}";Marpole
428 Great Northern Way;Independent School;St Francis Xavier;"{""type"": ""Point"", ""coordinates"": [-123.09452064422761, 49.26646231107508]}";Mount Pleasant
1885 W Broadway;Independent School;St John's International;"{""type"": ""Point"", ""coordinates"": [-123.14789881614395, 49.2640409804403]}";Kitsilano
3000 Commercial Drive;Independent School;Stratford Hall;"{""type"": ""Point"", ""coordinates"": [-123.06946327228026, 49.257469215545306]}";Kensington-Cedar Cottage
1551 E 37th Av;Public School;Tecumseh Annex;"{""type"": ""Point"", ""coordinates"": [-123.07309884, 49.23711627206752]}";Kensington-Cedar Cottage
1850 E 41st Av;Public School;Tecumseh Elementary;"{""type"": ""Point"", ""coordinates"": [-123.06800394, 49.2320557420675]}";Victoria-Fraserview
788 Beatty St;Independent School;The Westside School;"{""type"": ""Point"", ""coordinates"": [-123.11344354347607, 49.27757064431133]}";Downtown
2325 Cassiar St;StrongStart BC;Thunderbird StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.03187058558184, 49.263648890401456]}";Hastings-Sunrise
2450 Cambridge St;StrongStart BC;Tillicum Annex StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.05559853, 49.28626345506777]}";Hastings-Sunrise
2450 Cambridge St;Public School;Tillicum Community Annex;"{""type"": ""Point"", ""coordinates"": [-123.05559853, 49.28626345506777]}";Hastings-Sunrise
4170 Trafalgar St;Public School;Trafalgar Elementary;"{""type"": ""Point"", ""coordinates"": [-123.16460607, 49.250178756067605]}";Arbutus-Ridge
1580 W Broadway;Public School;Vancouver Alternate;"{""type"": ""Point"", ""coordinates"": [-123.14026052001878, 49.26329988232251]}";Fairview
530 E 41st Av;Public School;Vancouver Learning Network;"{""type"": ""Point"", ""coordinates"": [-123.09279776, 49.23195715006752]}";Sunset
998 W 26th Av;Independent School;Vancouver Talmud Torah Elementary;"{""type"": ""Point"", ""coordinates"": [-123.12682202118758, 49.2475796718668]}";South Cambie
15 N Renfrew St;Independent School;West Coast Christian School;"{""type"": ""Point"", ""coordinates"": [-123.04453612333309, 49.284984466234356]}";Hastings-Sunrise
4125 W 8th Av;Independent School;West Point Grey Academy;"{""type"": ""Point"", ""coordinates"": [-123.20150739365414, 49.26706634514379]}";West Point Grey
688 W Hastings St;Independent School;Alexander Academy;"{""type"": ""Point"", ""coordinates"": [-123.11400985419304, 49.28500059925005]}";Downtown
5025 Willow St;Public School;BC Children's Adol. Psych. Unit;"{""type"": ""Point"", ""coordinates"": [-123.12579095999999, 49.23963096106753]}";South Cambie
1001 Cotton Drive;Public School;Britannia Community Secondary;"{""type"": ""Point"", ""coordinates"": [-123.07192309841, 49.27523599085204]}";Grandview-Woodland
3340 E 54th Av;Public School;Captain James Cook Elementary;"{""type"": ""Point"", ""coordinates"": [-123.03582905, 49.219380799067466]}";Killarney
3340 E 54th Av;StrongStart BC;Captain James Cook StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.03582905, 49.219380799067466]}";Killarney
2684 E 2nd Av;StrongStart BC;Chief Maquinna StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.05058984, 49.26788631306769]}";Hastings-Sunrise
3575 Kaslo St;Independent School;Children's Hearing and Speech Centre BC;"{""type"": ""Point"", ""coordinates"": [-123.0483494372457, 49.25235796846878]}";Renfrew-Collingwood
3417 Euclid Av;Public School;Collingwood Neighbourhood School;"{""type"": ""Point"", ""coordinates"": [-123.032313, 49.23634859906753]}";Renfrew-Collingwood
1755 E 55th Av;Public School;David Thompson Secondary;"{""type"": ""Point"", ""coordinates"": [-123.07063159999998, 49.220439256067465]}";Victoria-Fraserview
555 Lillooet St;Public School;Dr A R Lord Elementary;"{""type"": ""Point"", ""coordinates"": [-123.03951720287967, 49.27964048422215]}";Hastings-Sunrise
6350 Tisdall St;Public School;Dr Annie B Jamieson Elementary;"{""type"": ""Point"", ""coordinates"": [-123.12100426, 49.22690693506749]}";Oakridge
3050 Crown St;Public School;Ecole Jules Quesnel Elementary;"{""type"": ""Point"", ""coordinates"": [-123.19253813000002, 49.25956780506763]}";West Point Grey
150 Drake St;Public School;Elsie Roy Elementary;"{""type"": ""Point"", ""coordinates"": [-123.122482, 49.27223799906772]}";Downtown
4070 Oak St;Public School;Emily Carr Elementary;"{""type"": ""Point"", ""coordinates"": [-123.12609640999999, 49.2500416520676]}";South Cambie
4196 W 4th Av;Independent School;Family Montessori School;"{""type"": ""Point"", ""coordinates"": [-123.1982460233882, 49.267667982326586]}";West Point Grey
2294 W 10th Av;Independent School;Fraser Academy;"{""type"": ""Point"", ""coordinates"": [-123.15727596082289, 49.26266070419338]}";Kitsilano
2330 E 37th Av;Public School;G T Cunningham Elementary;"{""type"": ""Point"", ""coordinates"": [-123.05745595, 49.23673222606754]}";Renfrew-Collingwood
3633 Tanner St;Public School;Graham Bruce Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.02567271, 49.24206908706756]}";Renfrew-Collingwood
1551 Cypress St;Public School;Henry Hudson Elementary;"{""type"": ""Point"", ""coordinates"": [-123.14935629, 49.2722458780677]}";Kitsilano
451 E 53rd Av;Public School;John Henderson Elementary;"{""type"": ""Point"", ""coordinates"": [-123.09527169, 49.222569588067465]}";Sunset
4710 Slocan St;Public School;John Norquay Elementary;"{""type"": ""Point"", ""coordinates"": [-123.0516408, 49.24142469506758]}";Renfrew-Collingwood
5718 Willow St;Independent School;King David High School;"{""type"": ""Point"", ""coordinates"": [-123.1227909397854, 49.23344818232933]}";Oakridge
1755 Barclay St;Public School;King George Secondary;"{""type"": ""Point"", ""coordinates"": [-123.13644517, 49.28982415206781]}";West End
4195 Alexandra St;Independent School;Little Flower Academy;"{""type"": ""Point"", ""coordinates"": [-123.14226149913934, 49.24843134181949]}";Shaughnessy
3663 Penticton St;Public School;Lord Beaconsfield Elementary;"{""type"": ""Point"", ""coordinates"": [-123.05269627000001, 49.2521383750676]}";Renfrew-Collingwood
3455 W King Edward Av;Public School;Lord Kitchener Elementary;"{""type"": ""Point"", ""coordinates"": [-123.18024556263893, 49.250581806373596]}";Dunbar-Southlands
1150 Nelson St;Public School;Lord Roberts Annex;"{""type"": ""Point"", ""coordinates"": [-123.12980600999998, 49.283091710067765]}";West End
4444 Dumfries St;Public School;Lord Selkirk Annex;"{""type"": ""Point"", ""coordinates"": [-123.07246012, 49.24532077406758]}";Kensington-Cedar Cottage
2678 W Broadway;Independent School;Madrona School;"{""type"": ""Point"", ""coordinates"": [-123.16601055529476, 49.263528260800655]}";Kitsilano
2300 Guelph St;StrongStart BC;Mount Pleasant StrongStart Centre;"{""type"": ""Point"", ""coordinates"": [-123.09399954, 49.26396573206767]}";Mount Pleasant
2550 Camosun St;Independent School;Our Lady of Perpetual Help;"{""type"": ""Point"", ""coordinates"": [-123.19617943097614, 49.264135070670505]}";West Point Grey
1819 Larch St;Independent School;Pacific Rim Montessori Academy;"{""type"": ""Point"", ""coordinates"": [-123.16244364510744, 49.269785798267485]}";Kitsilano
1580 W Broadway;Public School;Peak House;"{""type"": ""Point"", ""coordinates"": [-123.14026052001878, 49.26329988232251]}";Fairview
4102 W 16th Av;Public School;Queen Elizabeth Elementary;"{""type"": ""Point"", ""coordinates"": [-123.20112784000001, 49.257791772067634]}";Dunbar-Southlands
1850 E 3rd Av;Public School;Queen Victoria Annex;"{""type"": ""Point"", ""coordinates"": [-123.06634874, 49.267187849067696]}";Grandview-Woodland
3315 E 22nd Av;Public School;Renfrew Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.03205805, 49.25145777406758]}";Renfrew-Collingwood
4250 Marguerite St;Public School;Shaughnessy Elementary;"{""type"": ""Point"", ""coordinates"": [-123.14380998000001, 49.24867607506759]}";Shaughnessy
960 E 39th Av;Public School;Sir Alexander Mackenzie Elementary;"{""type"": ""Point"", ""coordinates"": [-123.08671432, 49.23453643506752]}";Kensington-Cedar Cottage
419 E 24th Av;Public School;Sir Charles Tupper Secondary;"{""type"": ""Point"", ""coordinates"": [-123.09480947999998, 49.249753501067595]}";Riley Park
3250 Kingsway;Public School;Sir Guy Carleton Community Elementary;"{""type"": ""Point"", ""coordinates"": [-123.03760798, 49.234347746067506]}";Renfrew-Collingwood
1300 E 29th Av;Public School;Sir Richard McBride Elementary;"{""type"": ""Point"", ""coordinates"": [-123.07817551, 49.244156609067566]}";Kensington-Cedar Cottage
1950 E Hastings St;Public School;Sir William Macdonald Community;"{""type"": ""Point"", ""coordinates"": [-123.06467911, 49.280723909067746]}";Grandview-Woodland
7055 Heather St;Public School;Sir Winston Churchill Secondary;"{""type"": ""Point"", ""coordinates"": [-123.12561546, 49.22105956806746]}";Oakridge
5855 Ontario St;Public School;Sir Wm Van Horne Elementary;"{""type"": ""Point"", ""coordinates"": [-123.10656921, 49.23156648606752]}";Oakridge
1370 W 73rd Av;Independent School;St Anthony of Padua;"{""type"": ""Point"", ""coordinates"": [-123.13700792036838, 49.20446493818909]}";Marpole
2215 W 10th Av;Independent School;St John's School;"{""type"": ""Point"", ""coordinates"": [-123.1561791428068, 49.26317767149081]}";Kitsilano
5239 Joyce St;Independent School;St Mary's;"{""type"": ""Point"", ""coordinates"": [-123.03370590892874, 49.237501631148845]}";Renfrew-Collingwood
115 E 11th Av;Independent School;St Patrick Regional Secondary;"{""type"": ""Point"", ""coordinates"": [-123.10260439171995, 49.261404544549904]}";Mount Pleasant
2850 Quebec St;Independent School;St Patrick's Elementary;"{""type"": ""Point"", ""coordinates"": [-123.1024366967439, 49.259762302830595]}";Mount Pleasant
3155 E 27th Av;Public School;Sunny Hill Hospital Program;"{""type"": ""Point"", ""coordinates"": [-123.0371743, 49.246512456067585]}";Renfrew-Collingwood
2325 Cassiar St;Public School;Thunderbird Elementary;"{""type"": ""Point"", ""coordinates"": [-123.03187058558184, 49.263648890401456]}";Hastings-Sunrise
3525 Dumphries St;Public School;Tyee Elementary;"{""type"": ""Point"", ""coordinates"": [-123.07382164, 49.25356935406761]}";Kensington-Cedar Cottage
3496 Mons Drive;Independent School;Vancouver Christian;"{""type"": ""Point"", ""coordinates"": [-123.02856693112142, 49.25471221591419]}";Renfrew-Collingwood
5400 Cartier St;Independent School;Vancouver College;"{""type"": ""Point"", ""coordinates"": [-123.1361713344514, 49.23495941876865]}";Shaughnessy
1545 W 62nd Av;Independent School;Vancouver Hebrew Academy;"{""type"": ""Point"", ""coordinates"": [-123.1413692647842, 49.21547172757715]}";Marpole
8650 Barnard St;Independent School;Vancouver Montessori School;"{""type"": ""Point"", ""coordinates"": [-123.14463359946043, 49.20779039590787]}";Marpole
1000 E 59th Av;Public School;Walter Moberly Elementary;"{""type"": ""Point"", ""coordinates"": [-123.08434542, 49.216109230067424]}";Sunset
3075 Slocan St;Independent School;Westside Montessori Academy;"{""type"": ""Point"", ""coordinates"": [-123.0503919492473, 49.256937847571606]}";Renfrew-Collingwood
4176 Alexandra St;Independent School;York House School;"{""type"": ""Point"", ""coordinates"": [-123.14034013611547, 49.248848218981884]}";Shaughnessy
